序号,酒店名,清洁程度,舒适程度,位置,设施/服务,员工素质,性价比,免费WiFi,评论数,价格,综合评价,离中心地区距离
107,上海七重天宾馆,6.8,7,9.2,6.6,6.8,7.3,6.6,NaN,580,好,NaN
108,同济君禧大酒店,8.6,8.6,8.8,8.7,8.8,8,7.9,147,NaN,很棒,NaN
109,上海慢生活禅意民宿田子坊店,7.3,7.7,8.6,7.5,8,8,7.5,14,NaN,好,NaN
110,上海城市酒店,7.5,7.2,7.9,7,7.2,7.1,6.7,NaN,520,好,2
111,Wonderoom时尚设计公寓新天地店,8.3,8.1,8.3,7.8,8.9,8.1,7.5,9,NaN,非常好,2
112,上海浦东香格里拉大酒店,8.8,8.7,9.2,8.5,8.5,7.7,8,847,NaN,很棒,NaN
113,如家精选-上海新天地陆家浜路地铁站店,8.1,7.3,8,7.4,7.4,7.2,7,80,417,好,NaN
114,丽墅国家会展中心店,8.4,8.2,7.1,8.1,8.4,7.7,7.5,90,599,非常好,6
115,上海辉盛庭国际公寓,8.9,9,9,8.7,8.7,8.3,8.3,NaN,NaN,很棒,NaN
116,上海林隐假日酒店,7.2,7.7,7,7.3,7.5,7.3,6.7,15,320,好,6
117,道理,9.3,9.4,8.2,9.2,9.6,8.7,8.4,49,778,好极了,1
118,石库门老洋房,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,920,好极了,NaN
119,东怡大酒店,8.6,8.6,8.2,8.3,8.4,7.9,7.2,315,980,非常好,6
120,华亭宾馆,7.1,7.2,7.8,7,7.4,6.8,7,424,856,好,6
121,上海新锦江大酒店,7.5,7.5,8.5,7.3,7.5,7,6.9,480,691,好,NaN
122,上海粤海酒店,6.8,6.7,6.4,6.6,6.6,6.8,7,25,NaN,评分,NaN
123,上海东方滨江大酒店（上海国际会议中心）,8.4,8.4,8.9,7.9,7.7,7.7,7.1,270,NaN,非常好,NaN
124,新天地朗廷酒店,9.2,9.2,9.5,9,8.9,8.1,8.5,675,NaN,好极了,NaN
125,上海世博洲际酒店,8.6,8.6,7.7,8.5,8.4,7.6,7.6,302,NaN,非常好,NaN
126,上海新金桥智选假日酒店,8.3,8.1,6.7,7.8,8,7.6,7.1,68,NaN,好,4
127,上海闵行宝龙艾美酒店,8.9,8.7,7.9,8.7,8.4,7.6,8,122,900,非常好,4
128,上海璞邸精品酒店,8.1,8.2,8.6,7.5,7.1,7.5,6.8,259,869,好,NaN
129,锦江都城上海白玉兰酒店,7.8,7.6,7.5,7.3,7.4,7.5,6.5,57,NaN,好,NaN
130,上海原法租界小日子民宿淮海中路店,6.3,7,8.3,6.7,6.7,6.5,7.2,79,650,评分,NaN
131,上海外滩郁锦香新亚酒店,8.9,8.9,8.8,8.4,8,8.3,7.4,296,729,非常好,NaN
132,Warm,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,480,好极了,3
133,如家精选酒店上海徐家汇店,8.9,8.5,8.8,8.4,8.4,8.3,8.2,61,503,很棒,5
134,锦江都城经典上海青年会人民广场酒店,8.2,8.2,9,7.9,8.1,7.6,7.2,210,820,非常好,NaN
135,Wonderoom时尚设计公寓田子坊店,8,8.3,8.6,8,8.7,8.1,6.9,27,NaN,非常好,NaN
136,門堂酒店（浦東機場店）,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,218,NaN,0
137,全季酒店上海火车站天目西路店,8,7.8,7.4,7.5,7.3,7.6,6.9,318,341,好,NaN
138,玉墅花园别墅虹桥火车站店,8.3,8.2,6.7,7.9,8.7,7.7,8,95,860,好,6
139,上海大华虹桥假日酒店,8.4,8.1,7.6,8.1,8.1,7.3,7.5,193,880,好,4
140,上海复旦皇冠假日酒店,8.5,8.4,7.8,8.1,8,7.5,6.4,199,750,非常好,7
141,上海富豪金丰酒店,7.9,7.8,6.7,7.5,7.9,7.5,6.9,99,478,好,2
142,上海地平线世纪时空酒店公寓,5.8,6.4,8.6,6.1,7.3,6.4,7,148,381,评分,NaN
143,上海辉盛庭国际公寓,8.9,9,9,8.7,8.7,8.3,8.3,NaN,NaN,很棒,NaN
144,上海中航泊悦酒店（中国国际航空公司）,8.7,8.3,8.9,8.2,8.2,7.5,7.6,NaN,NaN,非常好,4
145,上海镇坪智选假日酒店,8.6,8.2,8.3,7.9,8.1,7.9,7.3,403,479,非常好,NaN
146,上海虹桥康得思酒店,9.3,9.3,9.1,9,8.8,8.4,7.7,356,NaN,好极了,5
147,上海浦东丽思卡尔顿酒店,9.3,9.2,9.3,9.2,9.1,8.1,8.6,576,NaN,好极了,NaN
148,上海斯维登精品公寓南京东路,8.3,8.2,9.1,7.8,8,7.8,7.8,530,NaN,非常好,NaN
149,上海漕河泾万丽酒店,9.1,9,7.7,8.8,9,7.9,8.4,112,NaN,很棒,0
150,上海粤海酒店,6.8,6.7,6.4,6.6,6.6,6.8,7,25,NaN,评分,NaN
151,御锦轩凯宾斯基全套房酒店,8.7,8.7,8.8,8.3,8.6,7.9,8,NaN,NaN,非常好,NaN
152,上海金桥钻石碧云苑服务公寓,9,9.1,8.4,8.7,8.6,8.9,7.4,71,NaN,很棒,3
153,上海锦江汤臣洲际大酒店,8.8,8.7,8.4,8.5,8.9,7.9,7.7,564,948,非常好,NaN
154,上海东锦江希尔顿逸林酒店,7.9,7.7,7.2,7.5,7.7,6.7,5.9,294,NaN,好,5
155,宜必思上海虹桥古北酒店,7.6,7.2,5.9,6.6,7,7.2,7.6,83,341,评分,8
156,碧云花园服务公寓-国际社区店,9.3,9.3,8.5,9.1,9,8.7,7.7,177,NaN,好极了,0
157,锦江都城上海白玉兰酒店,7.8,7.6,7.5,7.3,7.4,7.5,6.5,57,NaN,好,NaN
158,上海建工浦江皇冠假日酒店,8.9,8.8,6.4,9.1,8.6,7.6,7.4,42,660,非常好,5
159,上海南新雅大酒店,7.7,7.7,8.9,7.2,6.8,7.1,6.8,NaN,635,好,NaN
160,上海宝御大酒店,8,8.1,7.5,7.3,7.2,7.2,7.5,78,880,好,NaN
161,上海锦江国际饭店,7.3,7.3,8.6,7,7.3,6.5,6.7,157,831,好,NaN
162,富晟国际精品酒店（上海浦东机场2店）,8.4,8.1,6.5,8,8.1,8.3,7.8,336,556,好,0
163,上海世茂皇家艾美酒店,8.3,8.4,9.2,8.2,8.3,7.4,7.5,NaN,NaN,非常好,NaN
164,锦江都城外滩经典酒店,8.7,8.5,9.3,8,8,7.9,7.2,370,NaN,非常好,NaN
165,埃里克公寓,7.2,8,8.6,7.5,7.8,8,6.7,16,NaN,好,8
166,上海静安昆仑大酒店,8.5,8.3,8.5,8.1,8.2,7.5,7.4,974,840,非常好,NaN
167,上海虹桥元一希尔顿酒店,NaN,NaN,NaN,NaN,NaN,NaN,NaN,650,900,非常好,9
168,衡山马勒别墅饭店,8.7,8.7,8.9,8.4,8.3,7.9,7.4,439,NaN,非常好,2
169,上海红塔豪华精选酒店,8.8,8.6,8.1,8.3,8.1,7.9,8,414,NaN,非常好,5
170,上海扬子江万丽大酒店,8.5,8.3,8.2,8.1,8.7,7.2,7.6,190,NaN,非常好,7
171,上海艾本精品酒店,9.2,9.1,9.3,8.8,9.1,8.3,7.8,338,NaN,好极了,NaN
172,上海凯宾斯基大酒店,8.8,8.9,9,8.5,8.4,7.9,7.4,NaN,NaN,很棒,3
173,上海富豪环球东亚酒店,8.2,8,8.5,7.8,7.6,7.4,6.8,295,622,好,NaN
174,宜必思尚品上海新虹桥酒店,8.1,7.6,6.8,7.4,7.8,7.6,7.5,21,550,好,0
175,上海复旦皇冠假日酒店,8.5,8.4,7.8,8.1,8,7.5,6.4,199,750,非常好,7
176,上海大酒店,9,9,9.3,8.6,8.1,8,6.8,NaN,NaN,很棒,NaN
177,日月光酒店式公寓,7.2,7.7,8.9,7,6.9,7.3,8.3,50,NaN,好,NaN
178,上海粤海酒店,6.8,6.7,6.4,6.6,6.6,6.8,7,25,NaN,评分,NaN
179,上海浦东四季酒店,9.3,9.3,9,9.2,9.2,8.3,8.3,213,NaN,好极了,NaN
180,上海虹桥美利亚酒店,9.2,9,7.7,8.8,8.5,8.6,8.2,106,818,很棒,8
181,花园坊阳光公寓,8.4,8.4,9.1,8.4,9,7.9,7.5,41,680,非常好,2
182,上海苏宁环球万怡酒店,9,8.8,6.8,8.5,8.8,8,7.8,56,650,非常好,9
183,上海现代舒适精品公寓,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN,优异的,NaN
184,锦江都城上海白玉兰酒店,7.8,7.6,7.5,7.3,7.4,7.5,6.5,57,NaN,好,NaN
185,上海新虹桥凯悦嘉轩酒店,9.2,9,6.9,8.8,8.9,8.6,7,75,756,很棒,4
186,国金汇,8.8,9,9.3,8.6,8.2,7.9,7.5,NaN,NaN,很棒,NaN
187,上海逸兰锦麟天地服务公寓,9,9.3,9.5,8.9,8.7,8.6,8,196,NaN,好极了,NaN
188,上海虹桥雅高美爵酒店,7.9,7.9,7.5,7.6,7.8,7.1,6.2,632,762,好,8
189,上海虹桥商务区凯悦嘉轩酒店,8.8,8.6,8.1,8,7.6,7.7,7.1,380,NaN,非常好,5
190,上海纳美民宿（蓝堡店）,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32,504,好极了,4
191,锦江都城外滩经典酒店,8.7,8.5,9.3,8,8,7.9,7.2,370,NaN,非常好,NaN
192,上海中福大酒店,6,6.2,8.6,6.1,6.2,6.5,6.1,NaN,450,评分,NaN
193,上海原法租界小日子民宿永嘉路店,6.5,6.8,7.9,6.5,7.3,6.4,9.2,49,629,评分,NaN
194,上海Meego米果青文酒店,8.7,8.4,7.9,8.3,8.1,8.5,7.4,491,288,非常好,NaN
195,上海齐鲁万怡大酒店,8.7,8.4,8.3,8.1,8.5,7.7,7.9,636,780,非常好,NaN
196,静安香格里拉大酒店,9.1,9,9.3,8.8,8.4,7.7,8.3,328,NaN,很棒,NaN
197,上海静安紫苑酒店公寓,6.9,7.3,7.9,7.1,6.9,7.1,7.5,88,550,好,NaN
198,上海外滩中南海滨酒店（海湾大厦）,7.6,7.7,8.5,7.2,6.9,7.1,6,646,NaN,好,NaN
199,上海有在酒店,9.5,9.6,8.7,9.2,9.6,9,8.8,31,821,好极了,NaN
200,上海虹口三至喜来登酒店,8.3,8.4,7.9,8.1,8.1,7.4,6.7,353,729,非常好,NaN
201,原法租界,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,NaN,好,NaN
202,上海波特曼丽思卡尔顿酒店,8.8,8.8,9.1,8.5,8.9,7.9,8.1,738,NaN,很棒,NaN
203,汉庭优佳上海西藏南路酒店,8,7.7,8.5,7.5,7.6,7.3,7.2,74,379,好,2
204,开元曼居·上海火车站店,6.8,7,8.1,6.6,6.8,7.1,6,445,373,好,2
205,中油阳光大酒店,8.5,8.5,8.2,8.2,7.9,7.6,7,80,NaN,非常好,5
206,人民广场幸福时光三卧室公寓,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,NaN,优异的,NaN
207,一宿•,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,675,NaN,NaN
208,【一宿·yī,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,750,NaN,NaN
209,上海复旦皇冠假日酒店,8.5,8.4,7.8,8.1,8,7.5,6.4,199,750,非常好,7
210,洛登民宿,7.2,7.9,7.6,7.8,7.7,8,7.9,30,888,好,7
211,上海璞丽酒店,9.4,9.4,9.5,9.3,9.1,8.3,8.5,915,NaN,好极了,NaN
212,锦江都城上海白玉兰酒店,7.8,7.6,7.5,7.3,7.4,7.5,6.5,57,NaN,好,NaN
213,上海浦东星河湾酒店,8.3,8.3,7,7.9,7.3,7.3,7.1,105,NaN,好,7
214,宜必思上海新虹桥店,8.3,8.1,7.4,7.9,8,8,7.5,117,560,非常好,0
215,上海浦江智选假日酒店,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40,454,非常好,3
216,上海虹桥绿地铂瑞酒店,9,9,7.6,8.8,8.5,8.1,7.2,172,NaN,非常好,7
217,上海子鱼居南京东路店,8.1,8.1,9.3,7.9,8.7,8.1,7.6,NaN,390,非常好,NaN
218,上海虹桥悦谊酒店公寓,5.8,6.4,9,6,6.6,5.2,3.8,13,498,评分,5
219,锦江都城外滩经典酒店,8.7,8.5,9.3,8,8,7.9,7.2,370,NaN,非常好,NaN
220,上海浦东嘉里大酒店,9,9,8.7,8.9,8.8,7.6,7.9,478,NaN,很棒,8
221,上海四季酒店,9.3,9.1,9,8.9,9.2,8.3,8.1,437,NaN,很棒,NaN
222,上海建国宾馆,7.9,7.7,8.4,7.6,7.7,7.2,6.4,413,774,好,5
223,上海浦东丽晟假日酒店,7.6,7.4,7.1,7.3,7.7,6.9,7.2,310,550,好,5
224,上海龙之梦大酒店,8,8.1,7.6,7.7,7.3,7.2,7.1,215,947,好,NaN
225,上海威斯汀大饭店,8.7,8.5,8.7,8.4,8.3,7.5,7.3,793,NaN,非常好,NaN
226,上海外滩中南海滨酒店（海湾大厦）,7.6,7.7,8.5,7.2,6.9,7.1,6,646,NaN,好,NaN
227,上海绿地普陀智选假日酒店,7.3,7.4,6.8,6.9,7,7,7.2,168,471,好,NaN
228,陕西路百年石库门地中海风情|近瑞金医院田子坊淮海路,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,378,NaN,NaN
229,上海通茂大酒店,7.3,7.5,7.7,7,7.3,7.1,6.1,136,742,好,5
230,上海大宁福朋喜来登酒店,8.2,8.1,8.1,8,8,7.2,6.9,184,NaN,好,5
231,逸兰金桥服务式公寓,9,9.2,8.3,8.8,8.5,8.6,7.8,284,825,很棒,9
232,上海百乐门精品酒店,8.4,8.4,9.2,7.9,8.2,7.8,7.6,NaN,NaN,非常好,NaN
233,上海古北湾大酒店,7.5,7.6,8.3,7.3,7.7,7.1,6.7,599,NaN,好,NaN
234,上海淳大万丽酒店,8.7,8.5,8,8.3,8.4,7.7,7.6,271,728,非常好,7
235,上海万豪虹桥大酒店,7.7,7.5,7.7,7.3,7.9,6.3,7.5,46,NaN,好,0
236,皇冠晶品酒店,7,7.3,6.8,6.9,7.1,7.2,6.7,74,468,好,6
237,上海龙之梦万丽酒店,8.4,8.4,8.8,8.2,8.2,7.5,7.6,641,NaN,非常好,5
238,上海青松城大酒店,7.9,7.7,8.5,7.1,7.4,7.2,7.7,137,711,好,NaN
239,上海静安瑞吉酒店,9,8.9,8.7,8.7,8.5,7.7,9,73,NaN,很棒,NaN
240,上海CJ公寓（襄阳北路66巷）,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,800,NaN,NaN
241,上海明天广场,9.1,8.9,9,8.7,8.9,7.9,7.8,323,NaN,很棒,NaN
242,上海君丽大酒店,8,8.1,8.2,7.8,8.1,7.4,6.7,325,504,好,6
243,上海郝完美彩虹农庄,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21,268,优异的,1
244,上海复旦皇冠假日酒店,8.5,8.4,7.8,8.1,8,7.5,6.4,199,750,非常好,7
245,上海郝完美彩虹农庄,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21,268,优异的,1
246,汉庭酒店上海虹桥枢纽七宝二店原上海虹桥枢纽沪星路店,7.1,7.4,6.8,7.1,7.6,7.1,7.1,38,360,好,4
247,锦江都城外滩经典酒店,8.7,8.5,9.3,8,8,7.9,7.2,370,NaN,非常好,NaN
248,北外滩阳光三房,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,NaN,非常好,NaN
249,克罗地亚,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4
250,上海万达瑞华酒店,9.3,9.4,9.2,9.1,9,8.6,8.3,271,NaN,好极了,NaN
251,上海君衡城市酒店,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,688,NaN,3
252,上海新虹桥希尔顿花园酒店,8.3,8.3,7,7.7,7.5,7.4,6.9,77,700,好,0
